bookname,rating_nums,imgurl,info,author,translater,publisher,price,_openid,total
红楼梦,9.6,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,[清] 曹雪芹 著 ,none, 人民文学出版社 , 59.70元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
活着,9.4,https://img3.doubanio.com/view/subject/s/public/s29053580.jpg,余华 / 作家出版社 / 2012-8-1 / 20.00元,余华 ,none, 作家出版社 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
1984,9.3,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,[英] 乔治·奥威尔 , 刘绍铭 , 北京十月文艺出版社 ,28,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
百年孤独,9.2,https://img9.doubanio.com/view/subject/s/public/s6384944.jpg,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,[哥伦比亚] 加西亚·马尔克斯 , 范晔 , 南海出版公司 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
飘,9.3,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,[美国] 玛格丽特·米切尔 , 李美华 , 译林出版社 , 40.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
三体全集,9.4,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,刘慈欣 ,none, 重庆出版社 , 168.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
三国演义（全二册）,9.3,https://img3.doubanio.com/view/subject/s/public/s1076932.jpg,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,[明] 罗贯中 ,none, 人民文学出版社 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
白夜行,9.1,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,[日] 东野圭吾 , 刘姿君 , 南海出版公司 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
福尔摩斯探案全集（上中下）,9.2,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,[英] 阿·柯南道尔 ,none, 1981-8 ,68.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
房思琪的初恋乐园,9.2,https://img3.doubanio.com/view/subject/s/public/s29651121.jpg,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,林奕含 ,none, 北京联合出版公司 , 45.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
动物农场,9.2,https://img3.doubanio.com/view/subject/s/public/s2347590.jpg,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,[英] 乔治·奥威尔 , 荣如德 , 上海译文出版社 , 10.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
小王子,9,https://img3.doubanio.com/view/subject/s/public/s1103152.jpg,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,[法] 圣埃克苏佩里 , 马振聘 , 人民文学出版社 , 22.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
天龙八部,9.1,https://img1.doubanio.com/view/subject/s/public/s23632058.jpg,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,金庸 ,none, 生活.读书.新知三联书店 ,96,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
撒哈拉的故事,9.2,https://img3.doubanio.com/view/subject/s/public/s1066570.jpg,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,三毛 ,none, 哈尔滨出版社 , 15.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
安徒生童话故事集,9.2,https://img3.doubanio.com/view/subject/s/public/s1034062.jpg,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,（丹麦）安徒生 , 叶君健 , 人民文学出版社 , 25.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
哈利•波特,9.7,https://img9.doubanio.com/view/subject/s/public/s29552296.jpg,J.K.罗琳 (J.K.Rowling) / 人民文学出版社 / 2008-12-1 / 498.00元,J.K.罗琳 (J.K.Rowling) ,none, 人民文学出版社 , 498.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
人类简史,9.1,https://img3.doubanio.com/view/subject/s/public/s27814883.jpg,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00,[以色列] 尤瓦尔·赫拉利 , 林俊宏 , 中信出版社 , CNY 68.00,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
围城,8.9,https://img3.doubanio.com/view/subject/s/public/s1070222.jpg,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,钱锺书 ,none, 人民文学出版社 ,19,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
沉默的大多数,9.1,https://img1.doubanio.com/view/subject/s/public/s1447349.jpg,王小波 / 中国青年出版社 / 1997-10 / 27.00元,王小波 ,none, 中国青年出版社 , 27.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
平凡的世界（全三部）,9,https://img3.doubanio.com/view/subject/s/public/s1144911.jpg,路遥 / 人民文学出版社 / 2005-1 / 64.00元,路遥 ,none, 人民文学出版社 , 64.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
霍乱时期的爱情,9,https://img3.doubanio.com/view/subject/s/public/s11284102.jpg,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司 , 39.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
明朝那些事儿（1-9）,9.1,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,当年明月 ,none, 中国海关出版社 , 358.20元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
局外人,9,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,[法] 阿尔贝·加缪 , 柳鸣九 , 上海译文出版社 , 22.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
杀死一只知更鸟,9.2,https://img3.doubanio.com/view/subject/s/public/s23128183.jpg,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,[美] 哈珀·李 , 高红梅 , 译林出版社 , 32.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
笑傲江湖（全四册）,9,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,金庸 ,none, 生活·读书·新知三联书店 , 76.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
月亮和六便士,9,https://img1.doubanio.com/view/subject/s/public/s2659208.jpg,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 15.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
中国历代政治得失,9.2,https://img9.doubanio.com/view/subject/s/public/s1319205.jpg,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,钱穆 ,none, 生活·读书·新知三联书店 , 12.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
基督山伯爵,9,https://img9.doubanio.com/view/subject/s/public/s3248016.jpg,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,大仲马 , 周克希 , 上海译文出版社 , 43.90元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
肖申克的救赎,9.1,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 29.90元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
东方快车谋杀案,9,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
追风筝的人,8.9,https://img3.doubanio.com/view/subject/s/public/s1727290.jpg,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 29.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
万历十五年,8.9,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,[美] 黄仁宇 ,none, 生活·读书·新知三联书店 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
夹边沟记事,9.2,https://img3.doubanio.com/view/subject/s/public/s3455551.jpg,杨显惠 / 花城出版社 / 2008-09 / 34.00元,杨显惠 ,none, 花城出版社 , 34.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
嫌疑人X的献身,8.9,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,[日] 东野圭吾 , 刘子倩 , 南海出版公司 ,28,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
江城,9,https://img3.doubanio.com/view/subject/s/public/s7019913.jpg,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 36.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
寻路中国,9,https://img1.doubanio.com/view/subject/s/public/s4575849.jpg,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 33.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
刀锋,9,https://img3.doubanio.com/view/subject/s/public/s2347562.jpg,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,[英]毛姆 , 周煦良 , 上海译文出版社 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
呐喊,8.9,https://img3.doubanio.com/view/subject/s/public/s4696893.jpg,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,鲁迅 ,none, 人民文学出版社 , 0.36元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
乡土中国,9.2,https://img9.doubanio.com/view/subject/s/public/s1665415.jpg,费孝通 / 上海人民出版社 / 2006-4 / 38.00,费孝通 ,none, 上海人民出版社 ,38,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
射雕英雄传（全四册）,9,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,金庸 ,none, 生活·读书·新知三联书店 , 47.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
新名字的故事,9,https://img9.doubanio.com/view/subject/s/public/s29376146.jpg,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 59.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
城南旧事,9,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,林海音 文 ,none, 中国青年出版社 , 16.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
失踪的孩子,9.1,https://img1.doubanio.com/view/subject/s/public/s29799269.jpg,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 62.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
冰与火之歌,9.5,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,[美]乔治·R.R.马丁 / 谭光磊 / 重庆出版社 / 2013-10-1 / 330.00元,[美]乔治·R.R.马丁 , 谭光磊 , 重庆出版社 , 330.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
傲慢与偏见,8.9,https://img3.doubanio.com/view/subject/s/public/s4250062.jpg,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 13.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
格林童话全集,9,https://img3.doubanio.com/view/subject/s/public/s1134341.jpg,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,[德国]格林兄弟 , 魏以新 , 人民文学出版社 , 21.45元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
黄金时代,8.9,https://img3.doubanio.com/view/subject/s/public/s1076372.jpg,王小波 / 花城出版社 / 1999-3 / 19.00元,王小波 ,none, 花城出版社 , 19.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
我与地坛,9.1,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,史铁生 ,none, 春风文艺出版社 , 25.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
历史深处的忧虑,9,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,林达 ,none, 生活·读书·新知三联书店 , 19.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
无人生还,8.9,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,[英] 阿加莎・克里斯蒂 , 祁阿红 , 人民文学出版社 ,19,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
文学回忆录（全2册）,9.1,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,木心 口述 ,none, 广西师范大学出版社 , 98.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
白鹿原,9.2,https://img9.doubanio.com/view/subject/s/public/s28111905.jpg,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,陈忠实 ,none, 人民文学出版社 , 39.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
神雕侠侣,8.9,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,金庸 , 有1996年11月北平第4次印本 , 生活·读书·新知三联书店 , 76.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
史记（全十册）,9.5,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg,司马迁 / （索引）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,司马迁 , （索引）司马贞，（正义）张守节 , 中华书局 ,125,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
悲惨世界（上中下）,9,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,[法] 雨果 , 李丹 , 人民文学出版社 , 66.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
艺术的故事,9.6,https://img3.doubanio.com/view/subject/s/public/s3219163.jpg,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 广西美术出版社 ,280,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
许三观卖血记,8.8,https://img3.doubanio.com/view/subject/s/public/s1074291.jpg,余华 / 南海出版公司 / 1998-9 / 16.80元,余华 ,none, 南海出版公司 , 16.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
上帝掷骰子吗,9.2,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,曹天元 ,none, 辽宁教育出版社 , 32.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
哭泣的骆驼,8.9,https://img9.doubanio.com/view/subject/s/public/s1020454.jpg,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,三毛 ,none, 哈尔滨出版社 , 15.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
看见,8.8,https://img3.doubanio.com/view/subject/s/public/s24468373.jpg,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,柴静 ,none, 广西师范大学出版社 , 39.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
浪潮之巅,9,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,吴军 / 电子工业出版社 / 2011-8 / 55.00元,吴军 ,none, 电子工业出版社 , 55.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
卡拉马佐夫兄弟,9.4,https://img3.doubanio.com/view/subject/s/public/s2059791.jpg,[俄] 费奥多尔·陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00元,[俄] 费奥多尔·陀思妥耶夫斯基 , 荣如德 , 上海译文出版社 , 25.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
灿烂千阳,8.8,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 28.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
树上的男爵,9.1,https://img1.doubanio.com/view/subject/s/public/s8972078.jpg,[意大利]伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,[意大利]伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 30.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
邓小平时代,9.1,https://img1.doubanio.com/view/subject/s/public/s24516687.jpg,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,[美] 傅高义 , 冯克利 , 生活·读书·新知三联书店 , 88.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
台北人,8.9,https://img9.doubanio.com/view/subject/s/public/s4526465.jpg,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,白先勇 ,none, 广西师范大学出版社 , 38.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
人间词话,9,https://img1.doubanio.com/view/subject/s/public/s9130587.jpg,王国维 / 上海古籍出版社 / 1998-12-01 / 9.80元,王国维 ,none, 上海古籍出版社 , 9.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
诗经,9.4,https://img3.doubanio.com/view/subject/s/public/s1979223.jpg,孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,孔丘 编订 ,none, 北京出版社 , 19.90元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
西游记（全二册）,8.9,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,吴承恩 , 黄肃秋 注释 , 人民文学出版社 , 47.20元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
窗边的小豆豆,8.7,https://img3.doubanio.com/view/subject/s/public/s1067911.jpg,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,[日] 黑柳彻子 著 , 赵玉皎 , 南海出版公司 , 20.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
永恒的终结,9,https://img3.doubanio.com/view/subject/s/public/s29555070.jpg,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9-1 / 32.00元,[美] 艾萨克·阿西莫夫 , 崔正男 , 江苏凤凰文艺出版社 , 32.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
我们仨,8.7,https://img3.doubanio.com/view/subject/s/public/s1015872.jpg,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,杨绛 ,none, 生活·读书·新知三联书店 , 18.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
爱你就像爱生命,8.8,https://img3.doubanio.com/view/subject/s/public/s4661043.jpg,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,王小波 ,none, 上海锦绣文章出版社 , 18.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
悉达多,9,https://img1.doubanio.com/view/subject/s/public/s6790238.jpg,[德] 赫尔曼·黑塞 / 杨玉功 译 / 上海人民出版社 / 2009-3 / 20.00,[德] 赫尔曼·黑塞 , 杨玉功 译 , 上海人民出版社 ,20,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
巨人的陨落,8.9,https://img9.doubanio.com/view/subject/s/public/s28668834.jpg,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,[英] 肯·福莱特 , 于大卫 , 江苏凤凰文艺出版社 , 129.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
这些人，那些事,8.8,https://img3.doubanio.com/view/subject/s/public/s6828981.jpg,吴念真 / 译林出版社 / 2011-9 / 28.00元,吴念真 ,none, 译林出版社 , 28.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
道德经精义,9.4,https://img3.doubanio.com/view/subject/s/public/s1045431.jpg,黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元,黄元吉 ,none, 陕西人民出版社 , 4.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
一个叫欧维的男人决定去死,9,https://img3.doubanio.com/view/subject/s/public/s29071620.jpg,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,[瑞典] 弗雷德里克·巴克曼 , 宁蒙 , 四川文艺出版社 , 35.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
教父,9,https://img1.doubanio.com/view/subject/s/public/s2832939.jpg,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,[美]马里奥·普佐 , 周汉林 , 译林出版社 , 23.30元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
最好的告别,9,https://img3.doubanio.com/view/subject/s/public/s28355811.jpg,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / CNY 54.90,[美] 阿图·葛文德（Atul Gawande） , 王一方 主编 , 浙江人民出版社 , CNY 54.90,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
海子的诗,8.9,https://img3.doubanio.com/view/subject/s/public/s1067491.jpg,海子 / 人民文学出版社 / 1999-04 / 15.40,海子 ,none, 人民文学出版社 ,15.4,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
你当像鸟飞往你的山,8.9,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10-20 / 59.00元,[美] 塔拉·韦斯特弗 , 任爱红 , 南海出版公司 , 59.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
